r(cm)          U(V)           Ne(m^-3)       
0.662663       -3373.37       3.08081e+13    
0.663664       -3363.36       3.04932e+13    
0.664665       -3353.35       3.01811e+13    
0.665666       -3343.34       2.98719e+13    
0.666667       -3333.33       2.95655e+13    
0.667668       -3323.32       2.92619e+13    
0.668669       -3313.31       2.89611e+13    
0.66967        -3303.3        2.8663e+13     
0.670671       -3293.29       2.83677e+13    
0.671672       -3283.28       2.8075e+13     
0.672673       -3273.27       2.77851e+13    
0.673674       -3263.26       2.74979e+13    
0.674675       -3253.25       2.72133e+13    
0.675676       -3243.24       2.69314e+13    
0.676677       -3233.23       2.66521e+13    
0.677678       -3223.22       2.63754e+13    
0.678679       -3213.21       2.61012e+13    
0.67968        -3203.2        2.58297e+13    
0.680681       -3193.19       2.55607e+13    
0.681682       -3183.18       2.52942e+13    
0.682683       -3173.17       2.50302e+13    
0.683684       -3163.16       2.47687e+13    
0.684685       -3153.15       2.45096e+13    
0.685686       -3143.14       2.42531e+13    
0.686687       -3133.13       2.39989e+13    
0.687688       -3123.12       2.37472e+13    
0.688689       -3113.11       2.34978e+13    
0.68969        -3103.1        2.32509e+13    
0.690691       -3093.09       2.30062e+13    
