r(cm),U(V),Ne(m^-3)
0.53954,-4604.6,9.84E+13
0.540541,-4594.59,9.76E+13
0.541542,-4584.58,9.67E+13
0.542543,-4574.57,9.59E+13
0.543544,-4564.56,9.51E+13
0.544545,-4554.55,9.43E+13
0.545546,-4544.54,9.35E+13
0.546547,-4534.53,9.27E+13
0.547548,-4524.52,9.19E+13
0.548549,-4514.51,9.11E+13
0.54955,-4504.5,9.03E+13
0.550551,-4494.49,8.95E+13
0.551552,-4484.48,8.87E+13
0.552553,-4474.47,8.79E+13
0.553554,-4464.46,8.72E+13
0.554555,-4454.45,8.64E+13
0.555556,-4444.44,8.57E+13
0.556557,-4434.43,8.49E+13
0.557558,-4424.42,8.42E+13
0.558559,-4414.41,8.34E+13
0.55956,-4404.4,8.27E+13
0.560561,-4394.39,8.20E+13
0.561562,-4384.38,8.12E+13
0.562563,-4374.37,8.05E+13
0.563564,-4364.36,7.98E+13
0.564565,-4354.35,7.91E+13
0.565566,-4344.34,7.84E+13
0.566567,-4334.33,7.77E+13
0.567568,-4324.32,7.70E+13
0.568569,-4314.31,7.63E+13
0.56957,-4304.3,7.56E+13
0.570571,-4294.29,7.49E+13
0.571572,-4284.28,7.43E+13
0.572573,-4274.27,7.36E+13
0.573574,-4264.26,7.29E+13
0.574575,-4254.25,7.23E+13
0.575576,-4244.24,7.16E+13
0.576577,-4234.23,7.10E+13
0.577578,-4224.22,7.03E+13
0.578579,-4214.21,6.97E+13
0.57958,-4204.2,6.91E+13
0.580581,-4194.19,6.84E+13
0.581582,-4184.18,6.78E+13
0.582583,-4174.17,6.72E+13
0.583584,-4164.16,6.66E+13
0.584585,-4154.15,6.60E+13
0.585586,-4144.14,6.54E+13
0.586587,-4134.13,6.48E+13
0.587588,-4124.12,6.42E+13
0.588589,-4114.11,6.36E+13
0.58959,-4104.1,6.30E+13
0.590591,-4094.09,6.24E+13
0.591592,-4084.08,6.18E+13
0.592593,-4074.07,6.12E+13
0.593594,-4064.06,6.07E+13
0.594595,-4054.05,6.01E+13
0.595596,-4044.04,5.96E+13
0.596597,-4034.03,5.90E+13
0.597598,-4024.02,5.84E+13
0.598599,-4014.01,5.79E+13
0.5996,-4004,5.74E+13
0.600601,-3993.99,5.68E+13
0.601602,-3983.98,5.63E+13
0.602603,-3973.97,5.57E+13
0.603604,-3963.96,5.52E+13
0.604605,-3953.95,5.47E+13
0.605606,-3943.94,5.42E+13
0.606607,-3933.93,5.37E+13
0.607608,-3923.92,5.32E+13
0.608609,-3913.91,5.27E+13
0.60961,-3903.9,5.22E+13
0.610611,-3893.89,5.17E+13
0.611612,-3883.88,5.12E+13
0.612613,-3873.87,5.07E+13
0.613614,-3863.86,5.02E+13
0.614615,-3853.85,4.97E+13
0.615616,-3843.84,4.92E+13
0.616617,-3833.83,4.88E+13
0.617618,-3823.82,4.83E+13
0.618619,-3813.81,4.78E+13
0.61962,-3803.8,4.74E+13
0.620621,-3793.79,4.69E+13
0.621622,-3783.78,4.64E+13
0.622623,-3773.77,4.60E+13
0.623624,-3763.76,4.55E+13
0.624625,-3753.75,4.51E+13
0.625626,-3743.74,4.47E+13
0.626627,-3733.73,4.42E+13
0.627628,-3723.72,4.38E+13
0.628629,-3713.71,4.34E+13
0.62963,-3703.7,4.29E+13
0.630631,-3693.69,4.25E+13
0.631632,-3683.68,4.21E+13
0.632633,-3673.67,4.17E+13
0.633634,-3663.66,4.13E+13
0.634635,-3653.65,4.09E+13
0.635636,-3643.64,4.05E+13
0.636637,-3633.63,4.01E+13
0.637638,-3623.62,3.97E+13
0.638639,-3613.61,3.93E+13
0.63964,-3603.6,3.89E+13
0.640641,-3593.59,3.85E+13
0.641642,-3583.58,3.81E+13
0.642643,-3573.57,3.77E+13
0.643644,-3563.56,3.74E+13
0.644645,-3553.55,3.70E+13
0.645646,-3543.54,3.66E+13
0.646647,-3533.53,3.63E+13
0.647648,-3523.52,3.59E+13
0.648649,-3513.51,3.55E+13
0.64965,-3503.5,3.52E+13
0.650651,-3493.49,3.48E+13
0.651652,-3483.48,3.45E+13
0.652653,-3473.47,3.41E+13
0.653654,-3463.46,3.38E+13
0.654655,-3453.45,3.34E+13
0.655656,-3443.44,3.31E+13
0.656657,-3433.43,3.28E+13
0.657658,-3423.42,3.24E+13
0.658659,-3413.41,3.21E+13
0.65966,-3403.4,3.18E+13
0.660661,-3393.39,3.14E+13
0.661662,-3383.38,3.11E+13
0.662663,-3373.37,3.08E+13
0.663664,-3363.36,3.05E+13
0.664665,-3353.35,3.02E+13
0.665666,-3343.34,2.99E+13
0.666667,-3333.33,2.96E+13
0.667668,-3323.32,2.93E+13
0.668669,-3313.31,2.90E+13
0.66967,-3303.3,2.87E+13
0.670671,-3293.29,2.84E+13
0.671672,-3283.28,2.81E+13
0.672673,-3273.27,2.78E+13
0.673674,-3263.26,2.75E+13
0.674675,-3253.25,2.72E+13
0.675676,-3243.24,2.69E+13
0.676677,-3233.23,2.67E+13
0.677678,-3223.22,2.64E+13
0.678679,-3213.21,2.61E+13
0.67968,-3203.2,2.58E+13
0.680681,-3193.19,2.56E+13
0.681682,-3183.18,2.53E+13
0.682683,-3173.17,2.50E+13
0.683684,-3163.16,2.48E+13
0.684685,-3153.15,2.45E+13
0.685686,-3143.14,2.43E+13
0.686687,-3133.13,2.40E+13
0.687688,-3123.12,2.37E+13
0.688689,-3113.11,2.35E+13
0.68969,-3103.1,2.33E+13
0.690691,-3093.09,2.30E+13
0.691692,-3083.08,2.28E+13
0.692693,-3073.07,2.25E+13
0.693694,-3063.06,2.23E+13
0.694695,-3053.05,2.21E+13
0.695696,-3043.04,2.18E+13
0.696697,-3033.03,2.16E+13
0.697698,-3023.02,2.14E+13
0.698699,-3013.01,2.11E+13
0.6997,-3003,2.09E+13
0.700701,-2992.99,2.07E+13
0.701702,-2982.98,2.05E+13
0.702703,-2972.97,2.02E+13
0.703704,-2962.96,2.00E+13
0.704705,-2952.95,1.98E+13
0.705706,-2942.94,1.96E+13
0.706707,-2932.93,1.94E+13
0.707708,-2922.92,1.92E+13
0.708709,-2912.91,1.90E+13
0.70971,-2902.9,1.88E+13
0.710711,-2892.89,1.86E+13
0.711712,-2882.88,1.84E+13
0.712713,-2872.87,1.82E+13
0.713714,-2862.86,1.80E+13
0.714715,-2852.85,1.78E+13
0.715716,-2842.84,1.76E+13
0.716717,-2832.83,1.74E+13
0.717718,-2822.82,1.72E+13
0.718719,-2812.81,1.70E+13
0.71972,-2802.8,1.69E+13
0.720721,-2792.79,1.67E+13
0.721722,-2782.78,1.65E+13
0.722723,-2772.77,1.63E+13
0.723724,-2762.76,1.61E+13
0.724725,-2752.75,1.60E+13
0.725726,-2742.74,1.58E+13
0.726727,-2732.73,1.56E+13
0.727728,-2722.72,1.55E+13
0.728729,-2712.71,1.53E+13
0.72973,-2702.7,1.51E+13
0.730731,-2692.69,1.50E+13
0.731732,-2682.68,1.48E+13
0.732733,-2672.67,1.46E+13
0.733734,-2662.66,1.45E+13
0.734735,-2652.65,1.43E+13
0.735736,-2642.64,1.42E+13
0.736737,-2632.63,1.40E+13
0.737738,-2622.62,1.39E+13
0.738739,-2612.61,1.37E+13
0.73974,-2602.6,1.36E+13
0.740741,-2592.59,1.34E+13
0.741742,-2582.58,1.33E+13
0.742743,-2572.57,1.31E+13
0.743744,-2562.56,1.30E+13
0.744745,-2552.55,1.28E+13
0.745746,-2542.54,1.27E+13
0.746747,-2532.53,1.26E+13
0.747748,-2522.52,1.24E+13
0.748749,-2512.51,1.23E+13
0.74975,-2502.5,1.21E+13
0.750751,-2492.49,1.20E+13
0.751752,-2482.48,1.19E+13
0.752753,-2472.47,1.17E+13
0.753754,-2462.46,1.16E+13
0.754755,-2452.45,1.15E+13
0.755756,-2442.44,1.14E+13
0.756757,-2432.43,1.12E+13
0.757758,-2422.42,1.11E+13
0.758759,-2412.41,1.10E+13
0.75976,-2402.4,1.09E+13
0.760761,-2392.39,1.08E+13
0.761762,-2382.38,1.06E+13
0.762763,-2372.37,1.05E+13
0.763764,-2362.36,1.04E+13
0.764765,-2352.35,1.03E+13
0.765766,-2342.34,1.02E+13
0.766767,-2332.33,1.01E+13
0.767768,-2322.32,9.95E+12
