r(cm)          U(V)           Ne(m^-3)       
0.506507       -5622.8        3.03541e+15    
0.507508       -5611.9        3.01692e+15    
0.508509       -5600.99       2.99847e+15    
0.50951        -5590.08       2.98007e+15    
0.510511       -5579.16       2.96171e+15    
0.511512       -5568.23       2.94338e+15    
0.512513       -5557.31       2.9251e+15     
0.513514       -5546.37       2.90687e+15    
0.514515       -5535.43       2.88868e+15    
0.515516       -5524.49       2.87053e+15    
0.516517       -5513.54       2.85243e+15    
0.517518       -5502.59       2.83438e+15    
0.518519       -5491.63       2.81637e+15    
0.51952        -5480.67       2.79841e+15    
0.520521       -5469.7        2.7805e+15     
0.521522       -5458.73       2.76264e+15    
0.522523       -5447.75       2.74483e+15    
0.523524       -5436.77       2.72706e+15    
0.524525       -5425.78       2.70935e+15    
0.525526       -5414.79       2.69169e+15    
0.526527       -5403.79       2.67408e+15    
0.527528       -5392.79       2.65652e+15    
0.528529       -5381.79       2.63902e+15    
0.52953        -5370.78       2.62157e+15    
0.530531       -5359.76       2.60417e+15    
0.531532       -5348.74       2.58683e+15    
0.532533       -5337.72       2.56954e+15    
0.533534       -5326.69       2.55231e+15    
0.534535       -5315.66       2.53514e+15    
0.535536       -5304.62       2.51802e+15    
0.536537       -5293.58       2.50096e+15    
0.537538       -5282.54       2.48396e+15    
0.538539       -5271.49       2.46701e+15    
0.53954        -5260.43       2.45012e+15    
0.540541       -5249.38       2.4333e+15     
0.541542       -5238.31       2.41653e+15    
0.542543       -5227.25       2.39982e+15    
0.543544       -5216.18       2.38317e+15    
0.544545       -5205.1        2.36659e+15    
0.545546       -5194.02       2.35006e+15    
0.546547       -5182.94       2.3336e+15     
0.547548       -5171.85       2.3172e+15     
0.548549       -5160.76       2.30086e+15    
0.54955        -5149.67       2.28458e+15    
0.550551       -5138.57       2.26837e+15    
0.551552       -5127.47       2.25222e+15    
0.552553       -5116.36       2.23614e+15    
0.553554       -5105.25       2.22012e+15    
0.554555       -5094.13       2.20416e+15    
0.555556       -5083.02       2.18827e+15    
0.556557       -5071.89       2.17245e+15    
0.557558       -5060.77       2.15669e+15    
0.558559       -5049.64       2.141e+15      
0.55956        -5038.51       2.12537e+15    
0.560561       -5027.37       2.10981e+15    
0.561562       -5016.23       2.09432e+15    
0.562563       -5005.09       2.07889e+15    
0.563564       -4993.94       2.06353e+15    
0.564565       -4982.79       2.04824e+15    
0.565566       -4971.63       2.03302e+15    
0.566567       -4960.47       2.01787e+15    
0.567568       -4949.31       2.00278e+15    
0.568569       -4938.15       1.98776e+15    
0.56957        -4926.98       1.97282e+15    
0.570571       -4915.81       1.95794e+15    
0.571572       -4904.63       1.94313e+15    
0.572573       -4893.45       1.92839e+15    
0.573574       -4882.27       1.91372e+15    
0.574575       -4871.08       1.89912e+15    
0.575576       -4859.9        1.88459e+15    
0.576577       -4848.7        1.87013e+15    
0.577578       -4837.51       1.85575e+15    
0.578579       -4826.31       1.84143e+15    
0.57958        -4815.11       1.82718e+15    
0.580581       -4803.9        1.81301e+15    
0.581582       -4792.7        1.7989e+15     
0.582583       -4781.49       1.78487e+15    
0.583584       -4770.27       1.77091e+15    
0.584585       -4759.05       1.75702e+15    
0.585586       -4747.83       1.7432e+15     
0.586587       -4736.61       1.72945e+15    
0.587588       -4725.38       1.71578e+15    
0.588589       -4714.16       1.70218e+15    
0.58959        -4702.92       1.68865e+15    
0.590591       -4691.69       1.67519e+15    
0.591592       -4680.45       1.6618e+15     
0.592593       -4669.21       1.64849e+15    
0.593594       -4657.97       1.63525e+15    
0.594595       -4646.72       1.62208e+15    
0.595596       -4635.47       1.60898e+15    
0.596597       -4624.22       1.59595e+15    
0.597598       -4612.96       1.583e+15      
0.598599       -4601.71       1.57012e+15    
0.5996         -4590.44       1.55731e+15    
0.600601       -4579.18       1.54458e+15    
0.601602       -4567.92       1.53192e+15    
0.602603       -4556.65       1.51933e+15    
0.603604       -4545.38       1.50681e+15    
0.604605       -4534.1        1.49437e+15    
0.605606       -4522.83       1.48199e+15    
0.606607       -4511.55       1.46969e+15    
0.607608       -4500.27       1.45747e+15    
0.608609       -4488.98       1.44531e+15    
0.60961        -4477.7        1.43323e+15    
0.610611       -4466.41       1.42122e+15    
0.611612       -4455.12       1.40928e+15    
0.612613       -4443.82       1.39742e+15    
0.613614       -4432.53       1.38562e+15    
0.614615       -4421.23       1.3739e+15     
0.615616       -4409.93       1.36225e+15    
0.616617       -4398.62       1.35067e+15    
0.617618       -4387.32       1.33917e+15    
0.618619       -4376.01       1.32773e+15    
0.61962        -4364.7        1.31637e+15    
0.620621       -4353.39       1.30508e+15    
0.621622       -4342.07       1.29386e+15    
0.622623       -4330.76       1.28271e+15    
0.623624       -4319.44       1.27163e+15    
0.624625       -4308.12       1.26063e+15    
0.625626       -4296.79       1.24969e+15    
0.626627       -4285.47       1.23883e+15    
0.627628       -4274.14       1.22803e+15    
0.628629       -4262.81       1.21731e+15    
0.62963        -4251.48       1.20666e+15    
0.630631       -4240.14       1.19608e+15    
0.631632       -4228.81       1.18556e+15    
0.632633       -4217.47       1.17512e+15    
0.633634       -4206.13       1.16475e+15    
0.634635       -4194.78       1.15445e+15    
0.635636       -4183.44       1.14421e+15    
0.636637       -4172.09       1.13405e+15    
0.637638       -4160.74       1.12395e+15    
0.638639       -4149.39       1.11393e+15    
0.63964        -4138.04       1.10397e+15    
0.640641       -4126.69       1.09408e+15    
0.641642       -4115.33       1.08426e+15    
0.642643       -4103.97       1.07451e+15    
0.643644       -4092.61       1.06483e+15    
0.644645       -4081.25       1.05521e+15    
0.645646       -4069.89       1.04566e+15    
0.646647       -4058.52       1.03618e+15    
0.647648       -4047.16       1.02677e+15    
0.648649       -4035.79       1.01742e+15    
0.64965        -4024.42       1.00814e+15    
0.650651       -4013.04       9.98932e+14    
0.651652       -4001.67       9.89785e+14    
0.652653       -3990.29       9.80705e+14    
0.653654       -3978.92       9.7169e+14     
0.654655       -3967.54       9.62741e+14    
0.655656       -3956.16       9.53858e+14    
0.656657       -3944.77       9.4504e+14     
0.657658       -3933.39       9.36287e+14    
0.658659       -3922          9.27598e+14    
0.65966        -3910.62       9.18974e+14    
0.660661       -3899.23       9.10415e+14    
0.661662       -3887.84       9.01919e+14    
0.662663       -3876.45       8.93487e+14    
0.663664       -3865.05       8.85119e+14    
0.664665       -3853.66       8.76814e+14    
0.665666       -3842.26       8.68572e+14    
0.666667       -3830.86       8.60393e+14    
0.667668       -3819.46       8.52276e+14    
0.668669       -3808.06       8.44222e+14    
0.66967        -3796.66       8.36229e+14    
0.670671       -3785.25       8.28298e+14    
0.671672       -3773.85       8.20429e+14    
0.672673       -3762.44       8.12621e+14    
0.673674       -3751.03       8.04873e+14    
0.674675       -3739.62       7.97187e+14    
0.675676       -3728.21       7.8956e+14     
0.676677       -3716.8        7.81994e+14    
0.677678       -3705.38       7.74488e+14    
0.678679       -3693.97       7.67041e+14    
0.67968        -3682.55       7.59653e+14    
0.680681       -3671.13       7.52325e+14    
0.681682       -3659.72       7.45055e+14    
0.682683       -3648.29       7.37843e+14    
0.683684       -3636.87       7.3069e+14     
0.684685       -3625.45       7.23594e+14    
0.685686       -3614.03       7.16556e+14    
0.686687       -3602.6        7.09575e+14    
0.687688       -3591.17       7.02652e+14    
0.688689       -3579.74       6.95785e+14    
0.68969        -3568.32       6.88974e+14    
0.690691       -3556.88       6.82219e+14    
0.691692       -3545.45       6.7552e+14     
